count.files;mb.size;normal.ing;checksum.ing
2000;0,5;84731;83040
2000;0,5;84067;98550
2000;0,5;87814;96617
2000;0,5;78099;82911
2000;0,5;83233;81864
2000;0,5;90535;88920
2000;0,5;77805;85517
2000;0,5;68107;83636
2000;0,5;82107;77771
2000;0,5;97214;73254
1000;1;53276;60089
1000;1;55619;61608
1000;1;56091;62877
1000;1;61531;70924
1000;1;67518;57367
1000;1;64071;58365
1000;1;56216;61721
1000;1;54742;66167
1000;1;58419;65529
1000;1;76271;57563
100;10;41992;49330
100;10;41765;49200
100;10;41655;44898
100;10;39260;47699
100;10;42214;46509
100;10;47692;46710
100;10;44833;50046
100;10;40885;53721
100;10;41159;52773
100;10;45797;45933
10;100;25908;33127
10;100;27328;32312
10;100;27337;32577
10;100;26254;32936
10;100;25850;32692
10;100;26698;31365
10;100;25966;31665
10;100;26158;32048
10;100;26542;32255
10;100;26868;31770
