count.files;mb.size;update.time
2000;0,5;73280
2000;0,5;78934
2000;0,5;79138
2000;0,5;80002
2000;0,5;80887
2000;0,5;78102
2000;0,5;78892
2000;0,5;79104
2000;0,5;81589
2000;0,5;80646
1000;1;31191
1000;1;35967
1000;1;38649
1000;1;47731
1000;1;35324
1000;1;34219
1000;1;35480
1000;1;34025
1000;1;36890
1000;1;36153
500;2;29455
500;2;30060
500;2;31443
500;2;32942
500;2;30486
500;2;29969
500;2;32524
500;2;33126
500;2;40250
500;2;30006
100;10;13589
100;10;12597
100;10;13795
100;10;14112
100;10;12281
100;10;12420
100;10;13319
100;10;12284
100;10;12326
100;10;12433
10;100;12534
10;100;12563
10;100;13098
10;100;13633
10;100;12539
10;100;12914
10;100;12512
10;100;13310
10;100;12850
10;100;13667
